Name,2017,2018,2019,2020,2021
United States,51573,53817,55724,59147,63444
Alabama,40252,41607,43157,45524,48608
Alaska ,57278,59783,61639,63391,67138
Arizona,43301,45299,47242,51332,54301
Arkansas,42056,43661,45037,47522,51148
California,58813,61509,64333,69958,76386
Colorado,55294,58471,61087,64034,69016
Connecticut,70163,73176,74930,77664,82082
Delaware,50516,52839,53539,55810,59002
District of Columbia,79967,82512,83270,89417,96873
Florida,49020,51444,53375,56096,60761
Georgia,44996,46824,48697,51704,55289
Hawaii ,51055,52174,53888,56840,60389
Idaho,41560,43356,45261,48208,51379
Illinois,53645,56512,58273,61957,67095
Indiana,45116,47100,48757,51691,56153
Iowa,47286,49212,50149,53057,56973
Kansas,48756,50811,52820,55677,59324
Kentucky,40770,41977,43629,47058,50699
Louisiana,44074,46062,47606,50810,54435
Maine,46421,48220,49986,53728,57159
Maryland,59183,60630,61879,65534,69266
Massachusetts,66625,69517,72202,77021,82475
Michigan,45648,47314,48820,52724,55551
Minnesota,54317,56568,57946,61464,65486
Mississippi,36907,37927,39184,42270,45438
Missouri,45376,47230,48922,51673,55159
Montana,46101,47808,49851,53085,56672
Nebraska,50204,52023,53419,56869,62095
Nevada,47542,49737,51785,54137,58233
New Hampshire,58419,60929,63271,66534,72003
New Jersey,62397,64759,66862,70314,74805
New Mexico,39437,41145,42907,46092,49320
New York,63045,65097,67325,71449,76415
North Carolina,44529,46272,48261,50996,55043
North Dakota,52455,55511,57205,60451,65544
Ohio,46711,48438,49809,53198,56483
Oklahoma,44444,46474,48524,50114,53156
Oregon,47983,50536,52464,56311,60676
Pennsylvania,52499,55184,56742,60720,64054
Rhode Island,50973,52550,54735,58656,61942
South Carolina,42819,44326,46173,48838,52074
South Dakota,50350,52590,55011,59656,64720
Tennessee,44969,47006,48781,50801,54873
Texas,49227,52019,53505,55399,59674
Utah,43400,46002,48670,51698,55392
Vermont,50709,52191,53860,57423,59704
Virginia,54976,56738,58460,61661,65408
Washington,57244,60178,62817,66907,71889
West Virginia,39169,41300,42378,44868,47817
Wisconsin,48741,50818,52417,55030,58564
Wyoming,57126,60353,61571,62397,65627
New England,63109,65737,67996,71949,76651
Mideast,59717,61927,63788,67680,71946
Great Lakes,48407,50503,52069,55476,59346
Plains,49359,51419,52969,56122,60113
Southeast,45748,47633,49414,52213,56118
Southwest,47278,49815,51449,53755,57647
Rocky Mountain,49534,52220,54605,57469,61587
Far West,56991,59627,62262,67235,73053