"State","corpTaxRate"
"Iowa","0.1200"
"New Jersey","0.1005"
"Pennsylvania","0.0999"
"Minnesota","0.0980"
"Illinois","0.0950"
"Alaska","0.0940"
"Maine","0.0893"
"California","0.0884"
"Delaware","0.0870"
"Vermont","0.0850"
"Maryland","0.0825"
"Louisiana","0.0800"
"Massachusetts","0.0800"
"Wisconsin","0.0790"
"Nebraska","0.0781"
"New Hampshire","0.0770"
"Oregon","0.0760"
"Connecticut","0.0750"
"Kansas","0.0700"
"Rhode Island","0.0700"
"Idaho","0.0693"
"Montana","0.0675"
"Alabama","0.0650"
"Arkansas","0.0650"
"New York","0.0650"
"Tennessee","0.0650"
"West Virginia","0.0650"
"Hawaii","0.0640"
"Michigan","0.0600"
"Oklahoma","0.0600"
"Virginia","0.0600"
"New Mexico","0.0590"
"Georgia","0.0575"
"Indiana","0.0550"
"Kentucky","0.0500"
"Mississippi","0.0500"
"South Carolina","0.0500"
"Utah","0.0495"
"Arizona","0.0490"
"Colorado","0.0463"
"Florida","0.0446"
"North Dakota","0.0431"
"Missouri","0.0400"
"North Carolina","0.0250"
"Nevada",""
"Ohio",""
"South Dakota",""
"Texas",""
"Washington",""
"Wyoming",""